date,month,hour,minute,year,day,area,70area,tmin,minlon,minlat,maxlon,maxlat,clon,clat,tminlon,tminlat,tmean,tp1,tp99,stormID,rain_mean,rain_max,rain_p95,rain_p99,q925,q850,tcw,ushear650_925,ushear650_850,psfc,p_mcs_anv,plnb_mcs,tlnb_mcs,CAPE_mcs,CIN_mcs,plnb-3,tlnb-3,CAPE-3,CIN-3,plnb-6,tlnb-6,CAPE-6,CIN-6,max_w500,p99_w500,p95_w500,p90_w500,p98_w500,p99.5_w500,area_w500_5ms_core,area_w500_10ms_core,area_w500_p98_core,area_w500_p99_core,area_w500_p99.5_core,theta_e_core_buoy
20160801_16:02,8,16,2,2016,1,53,0,-61.16298,19.25,4.949999809265137,20.450000762939453,5.449999809265137,19.850000381469727,5.199999809265137,19.549999237060547,5.349999904632568,-56.45582,-61.02033935546875,-50.5744677734375,20160801_16:02_5,0.63787365,8.536199,4.068323135375976,7.767088069915767,0.0151269454123645,0.0141635606100594,47.983265,-4.681108,-4.50071,961.1877,,,,,,,,,,,,,,,,,,,,,,,,,
20160801_16:02,8,16,2,2016,1,176,0,-68.77249,17.649999618530273,5.849999904632568,20.64999961853028,6.949999809265137,19.14999961853028,6.3999998569488525,20.549999237060547,6.650000095367432,-58.09875,-67.29482650756836,-50.61178970336914,20160801_16:02_11,2.50171,37.57269,17.14498805999756,32.67133140563965,0.0151551040462996,0.01442034421242,48.85225,-7.962358,-8.433239,949.8564,,,,,,,,,,,,,,,,,,,,,,,,,
20160801_16:02,8,16,2,2016,1,82,0,-60.361023,10.050000190734863,6.050000190734863,11.550000190734863,6.849999904632568,10.800000190734863,6.450000047683716,11.350000381469728,6.650000095367432,-54.50381,-59.94391052246094,-50.05720123291016,20160801_16:02_13,0.25576982,10.957368,0.99989030957222,3.900265312194804,0.0160300638330265,0.0139799409674579,33.881184,-2.5865386,-6.182031,880.47156,,,,,,,,,,,,,,,,,,,,,,,,,
20160801_16:02,8,16,2,2016,1,49,0,-59.73517,15.75,6.050000190734863,17.049999237060547,6.550000190734863,16.399999618530273,6.300000190734863,16.549999237060547,6.25,-54.456554,-59.612978515625,-50.2123193359375,20160801_16:02_14,1.6870742,10.5113735,10.26575775146484,10.5046297454834,0.0142406958549616,0.0135890223870309,43.218327,-6.01259,-6.5539064,934.3906,,,,,,,,,,,,,,,,,,,,,,,,,
20160801_16:02,8,16,2,2016,1,185,0,-68.5289,22.64999961853028,6.349999904632568,24.950000762939453,7.949999809265137,23.800000190734863,7.1499998569488525,24.950000762939453,7.25,-58.019714,-68.30993347167968,-50.18192565917969,20160801_16:02_21,2.8812032,29.358408,17.05588264465331,24.361856918334954,0.0151279191949331,0.0142776084313842,46.794514,-4.299479,-6.1770835,932.85516,,,,,,,,,,,,,,,,,,,,,,,,,
20160801_16:02,8,16,2,2016,1,44,0,-67.10536,13.350000381469728,6.949999809265137,14.050000190734863,7.550000190734863,13.700000286102297,7.25,13.949999809265137,7.25,-55.67729,-66.27457931518555,-50.08272354125977,20160801_16:02_24,2.416632,24.390354,16.317628240585332,21.539462718963627,,0.0135339521724977,35.623257,,-8.525,885.5254,,,,,,,,,,,,,,,,,,,,,,,,,
20160801_16:02,8,16,2,2016,1,711,23,-75.49254,20.25,7.449999809265137,23.450000762939453,11.75,21.850000381469727,9.599999904632568,21.450000762939453,11.050000190734863,-58.501144,-73.22843627929687,-50.34976806640625,20160801_16:02_26,2.3968792,33.206944,13.689424991607666,21.09697837829588,0.0155601212063851,0.0151240225938429,50.64459,-12.336648,-11.90483,957.4842,,,,,,,,,,,,,,,,,,,,,,,,,
20160801_16:02,8,16,2,2016,1,174,5,-71.82732,7.849999904632568,9.25,9.850000381469728,10.449999809265137,8.850000143051147,9.849999904632568,8.949999809265137,10.25,-60.38362,-71.01942077636718,-50.71295791625976,20160801_16:02_30,1.1235914,22.469095,7.266616535186765,19.70469528198243,0.0155526260548648,0.0139305103279083,40.893692,-11.246212,-10.816761,915.1813,,,,,,,,,,,,,,,,,,,,,,,,,
20160801_16:02,8,16,2,2016,1,177,108,-80.34717,10.050000190734863,10.149999618530272,11.449999809265137,11.649999618530272,10.75,10.899999618530272,10.75,10.75,-70.22544,-79.83092651367187,-52.29076477050781,20160801_16:02_33,1.9534951,29.406395,13.59511489868164,21.79643707275391,0.0164195269176273,0.0149215659280384,51.136456,-13.9268465,-12.3643465,962.2223,,,,,,,,,,,,,,,,,,,,,,,,,
20160801_16:02,8,16,2,2016,1,215,0,-60.039658,23.64999961853028,10.350000381469728,24.950000762939453,12.949999809265137,24.300000190734863,11.650000095367432,24.950000762939453,11.75,-55.902416,-59.71281707763672,-50.82045532226563,20160801_16:02_34,0.0,0.0,0.0,0.0,0.0166499464984481,0.0150936060778994,46.41917,-14.8203125,-16.13151,938.8332,,,,,,,,,,,,,,,,,,,,,,,,,
