date,month,hour,minute,year,day,area,70area,tmin,minlon,minlat,maxlon,maxlat,clon,clat,tminlon,tminlat,tmean,tp1,tp99,stormID,rain_mean,rain_max,rain_p95,rain_p99,q925,q850,tcw,ushear650_925,ushear650_850,psfc,p_mcs_anv,plnb_mcs,tlnb_mcs,CAPE_mcs,CIN_mcs,plnb-3,tlnb-3,CAPE-3,CIN-3,plnb-6,tlnb-6,CAPE-6,CIN-6,max_w500,p99_w500,p95_w500,p90_w500,p98_w500,p99.5_w500,area_w500_5ms_core,area_w500_10ms_core,area_w500_p98_core,area_w500_p99_core,area_w500_p99.5_core,theta_e_core_buoy
20160801_16:01,8,16,1,2016,1,165,0,-66.59183,21.64999961853028,4.650000095367432,24.64999961853028,5.75,23.14999961853028,5.200000047683716,23.14999961853028,5.349999904632568,-57.82524,-66.00823120117188,-50.14727478027344,20160801_16:01_4,3.0628495,39.090984,14.004383277893066,21.39473258972154,0.0141115533407891,0.0132231802663951,46.644955,-4.312911,-4.8552775,945.5791,,,,,,,,,,,,,,,,,,,,,,,,,
20160801_16:01,8,16,1,2016,1,44,0,-55.47287,8.75,4.849999904632568,9.649999618530272,5.550000190734863,9.199999809265137,5.200000047683716,9.25,5.449999809265137,-52.004135,-55.41960540771484,-50.08044067382812,20160801_16:01_5,3.7998178,23.79766,13.660578727722172,23.05172456741333,0.0152287135434635,0.0129945394796292,49.730015,-5.1848383,-4.769905,981.3526,,,,,,,,,,,,,,,,,,,,,,,,,
20160801_16:01,8,16,1,2016,1,55,0,-61.318756,14.75,5.650000095367432,16.350000381469727,6.25,15.550000190734863,5.950000047683716,15.649999618530272,6.150000095367432,-55.21176,-61.19318237304688,-50.26200714111328,20160801_16:01_15,2.1495876,10.854064,7.601036310195922,10.80584550857544,0.0146260369419837,0.0133090499196362,39.24979,-5.551515,-6.754657,908.65466,,,,,,,,,,,,,,,,,,,,,,,,,
20160801_16:01,8,16,1,2016,1,97,0,-63.693237,10.149999618530272,6.050000190734863,12.149999618530272,6.949999809265137,11.149999618530272,6.5,11.850000381469728,6.650000095367432,-55.131683,-62.6128564453125,-50.24371643066407,20160801_16:01_19,0.60270846,13.174907,3.714524173736561,9.35003765106198,0.0159240371019002,0.0136709494821701,35.46041,-4.2211537,-3.603244,890.84937,,,,,,,,,,,,,,,,,,,,,,,,,
20160801_16:01,8,16,1,2016,1,498,56,-78.83783,21.25,6.050000190734863,24.950000762939453,8.149999618530273,23.100000381469727,7.099999904632568,23.14999961853028,7.650000095367432,-60.972477,-75.51003158569335,-50.184469604492186,20160801_16:01_22,2.4776964,40.21361,14.856185436248769,22.706028347015327,0.0150204141215252,0.0137339093583791,44.103825,-8.129656,-9.490778,928.5709,,,,,,,,,,,,,,,,,,,,,,,,,
20160801_16:01,8,16,1,2016,1,79,0,-57.75792,18.049999237060547,6.449999809265137,20.350000381469727,7.550000190734863,19.199999809265137,7.0,19.14999961853028,6.75,-53.40123,-57.42171569824219,-50.1073568725586,20160801_16:01_26,0.024228571,0.65240765,0.149812145531177,0.3874237596988674,0.0159803368473485,0.0134309313497556,49.1686,-6.98393,-6.8988314,954.63544,,,,,,,,,,,,,,,,,,,,,,,,,
20160801_16:01,8,16,1,2016,1,1303,217,-82.63063,17.450000762939453,8.350000381469727,22.25,14.050000190734863,19.850000381469727,11.200000286102297,20.850000381469727,11.350000381469728,-62.410862,-78.43600494384765,-50.36957244873047,20160801_16:01_47,1.5656846,23.212185,9.22277488708496,16.59332984924317,0.0155566601720148,0.0149456596485585,50.33661,-11.898648,-10.911341,956.79767,,,,,,,,,,,,,,,,,,,,,,,,,
20160801_16:01,8,16,1,2016,1,59,0,-65.990845,7.550000190734863,9.149999618530272,8.550000190734863,9.75,8.050000190734863,9.449999809265137,7.849999904632568,9.449999809265137,-56.727646,-65.5199398803711,-50.70206176757812,20160801_16:01_55,0.5663499,8.679543,2.826661229133604,6.592247285842902,0.0158208100786735,0.0136087263061189,45.90516,-4.9264054,-3.9811907,944.8395,,,,,,,,,,,,,,,,,,,,,,,,,
20160801_16:01,8,16,1,2016,1,42,0,-69.84273,9.149999618530272,9.550000190734863,9.949999809265137,10.25,9.549999713897703,9.900000095367432,9.649999618530272,10.050000190734863,-58.1136,-69.70282867431641,-50.66559677124024,20160801_16:01_62,0.01032229,0.16670348,0.0941459901630875,0.1465513003617523,0.0149714256959243,0.0125890365089019,43.72853,-9.788476,-8.375639,941.3173,,,,,,,,,,,,,,,,,,,,,,,,,
20160801_16:01,8,16,1,2016,1,131,29,-80.61954,2.450000047683716,9.850000381469728,4.449999809265137,10.949999809265137,3.4499999284744263,10.400000095367432,4.150000095367432,10.850000381469728,-62.484726,-79.11615142822265,-50.722299194335946,20160801_16:01_68,1.8579031,35.875423,9.562487125396729,26.701555824279627,0.0170336557810815,0.0143348765333867,55.908382,-14.978177,-13.146092,985.60657,,,,,,,,,,,,,,,,,,,,,,,,,
20160801_16:01,8,16,1,2016,1,49,17,-80.52829,10.25,10.25,11.350000381469728,10.75,10.800000190734863,10.5,11.149999618530272,10.550000190734863,-66.401276,-79.48197387695312,-51.86470886230469,20160801_16:01_80,2.834728,25.24653,19.680460357666007,24.03978492736816,0.0174006618232778,0.0142180738971013,52.12777,-13.697315,-11.598977,963.0999,,,,,,,,,,,,,,,,,,,,,,,,,
20160801_16:01,8,16,1,2016,1,127,0,-60.26471,23.450000762939453,10.25,24.950000762939453,12.050000190734863,24.200000762939453,11.150000095367432,24.64999961853028,10.949999809265137,-54.028408,-59.87286804199218,-50.23085906982422,20160801_16:01_81,0.0,0.0,0.0,0.0,0.0139813194416083,0.0096360933002823,42.686207,-18.786224,-16.848629,950.4033,,,,,,,,,,,,,,,,,,,,,,,,,
